가구원수,취업인원수,가구주_연령,비동거취업미혼자녀수,비동거학업미혼자녀수,비동거기타미혼자녀수,자동차보유대수,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가계지출금액,가계지출_소비지출금액
1,0,105,0,0,0,0,78,3500,43,26,2,600186,600186
1,0,18,0,0,0,0,450,60000,0,23,2,510527,510527
1,0,18,0,0,0,0,560,2000,550,33,2,2450278,2425278
1,0,19,0,0,0,0,330,3000,300,32,2,2608172,2593385
1,0,19,0,0,0,0,73,2500,48,26,2,927564,927564
1,0,20,0,0,0,0,100,20000,0,40,2,498771,493771
1,0,20,0,0,0,0,300,5000,270,26,2,1017425,1017425
1,0,21,0,0,0,0,250,2000,200,30,2,1278390,1275288
1,0,21,0,0,0,0,300,3000,250,47,2,587694,587694
1,0,21,0,0,0,0,310,2000,300,30,2,409558,409558
1,0,21,0,0,0,0,320,5000,300,24,2,983089,934405
1,0,21,0,0,0,0,330,0,0,32,2,825029,825029
1,0,21,0,0,0,0,430,3000,420,30,2,1402630,1387630
1,0,21,0,0,0,0,450,5000,400,27,2,545385,545385
1,0,21,0,0,0,0,470,5000,450,28,2,1127177,1117177
1,0,21,0,0,0,1,250,35000,0,49,2,1074178,1074178
1,0,22,0,0,0,0,275,0,275,23,2,906345,906345
1,0,22,0,0,0,0,300,2000,300,23,2,1723795,1499755
1,0,22,0,0,0,0,320,2000,300,20,2,956684,956684
1,0,22,0,0,0,0,350,1000,300,23,2,323281,323281
1,0,22,0,0,0,0,417,5000,400,33,2,858380,858380
1,0,22,0,0,0,0,430,2000,380,30,2,484941,462941
1,0,22,0,0,0,0,453,3000,440,40,2,2239211,2217098
1,0,22,0,0,0,0,460,10000,440,23,2,791086,791086
1,0,22,0,0,0,0,650,5000,600,64,2,3497693,3460245
1,0,23,0,0,0,0,230,25000,0,31,2,554051,554051
1,0,23,0,0,0,0,280,80000,0,26,2,1516195,1461195
1,0,23,0,0,0,0,300,10000,33,36,2,856429,829045
1,0,23,0,0,0,0,300,2000,290,30,2,706847,701847
1,0,23,0,0,0,0,320,2000,300,20,2,788469,788469
1,0,23,0,0,0,0,387,2000,370,18,2,476910,476910
1,0,23,0,0,0,0,400,35000,0,30,2,785240,710240
1,0,23,0,0,0,0,400,70000,0,26,2,692563,692563
1,0,23,0,0,0,0,405,0,0,34,1,661208,657874
1,0,23,0,0,0,0,430,5000,380,30,2,2296869,2285202
1,0,23,0,0,0,0,450,90000,0,38,2,955077,816317
1,0,23,0,0,0,0,500,10000,450,32,2,1289203,1289203
1,0,23,0,0,0,0,550,0,0,84,2,1885873,1885873
1,0,23,0,0,0,1,1000,230000,0,84,2,959106,827822
1,0,24,0,0,0,0,250,1000,230,23,2,1434963,1424963
1,0,24,0,0,0,0,300,0,0,17,2,822619,799286
1,0,24,0,0,0,0,300,0,0,40,2,1523663,1511163
1,0,24,0,0,0,0,366,5000,350,33,2,531020,531020
1,0,24,0,0,0,0,387,3000,370,18,2,736525,736525
1,0,24,0,0,0,0,400,75000,0,19,2,1741592,1731592
1,0,24,0,0,0,0,430,10000,330,24,2,797874,796290
1,0,24,0,0,0,0,540,10000,500,23,2,786025,786025
1,0,25,0,0,0,0,173,3000,150,26,2,1127280,1127280
1,0,25,0,0,0,0,222,20000,160,39,2,1100648,1093148
1,0,25,0,0,0,0,290,10000,250,30,2,882253,869740
1,0,25,0,0,0,0,343,3000,320,20,2,1063656,1005323
1,0,25,0,0,0,0,360,30000,300,35,2,1147299,1147299
1,0,25,0,0,0,0,420,2000,300,39,2,1463198,1419218
1,0,25,0,0,0,0,430,5000,380,21,2,1443267,1442809
1,0,25,0,0,0,0,450,10000,400,23,2,1160568,1157068
1,0,25,0,0,0,0,450,100000,150,12,2,1567451,1250904
1,0,25,0,0,0,0,610,15000,550,23,2,2187311,2187311
1,0,25,0,0,0,0,850,0,0,45,1,1154652,1068668
1,0,25,0,0,0,0,850,5000,600,82,2,1288455,1288455
1,0,26,0,0,0,0,162,50000,100,17,2,499973,450725
1,0,26,0,0,0,0,230,1000,220,31,2,1224654,1124654
1,0,26,0,0,0,0,250,0,0,100,2,1337661,1337661
1,0,26,0,0,0,0,300,10000,100,36,2,604962,592878
1,0,26,0,0,0,0,367,5000,350,33,2,637046,637046
1,0,26,0,0,0,0,400,70000,0,26,2,1062115,1062115
1,0,26,0,0,0,0,446,10000,400,30,2,979011,977761
1,0,26,0,0,0,0,450,100000,0,30,2,1866404,1720290
1,0,26,0,0,0,0,466,5000,450,33,2,2571940,2471580
1,0,26,0,0,0,0,620,155000,0,35,2,4018281,1025875
1,0,26,0,0,0,0,630,30000,400,26,2,1774569,1774569
1,0,26,0,0,0,0,880,20000,800,28,2,1953497,1934163
1,0,26,0,0,0,1,450,5000,400,55,2,1278536,1256432
1,0,26,0,0,0,1,500,2000,492,33,2,1964323,1793123
1,0,27,0,0,0,0,210,60000,0,60,2,851397,737507
1,0,27,0,0,0,0,250,40000,0,20,2,760087,760087
1,0,27,0,0,0,0,350,1000,310,26,2,2506140,2466050
1,0,27,0,0,0,0,350,3000,330,19,2,860051,816117
1,0,27,0,0,0,0,352,2000,350,29,2,1621846,1605428
